VLAN;EPG;SCHEMA;SITE;TEMPLATE;ANP;POD;UNIQ
120;  120_EPG_L;SCHEMA-PRO;LAB-ACI;Template1;AP-TEST-BS;pod-1;SCHEMA-PRO^Template1
100;100_EPG_L;SCHEMA-PRO;LAB-ACI;Template1;AP-TEST-BS;pod-1;SCHEMA-PRO^Template1
101;101_EPG_L;SCHEMA-PRO;LAB-ACI;Template1;AP-TEST-BS;pod-1;SCHEMA-PRO^Template1
121;121_EPG_L;SCHEMA-PRO;LAB-ACI;Template1;AP-TEST-BS;pod-1;SCHEMA-PRO^Template1
123;123_EPG_L;SCHEMA-PRO;LAB-ACI;Template1;AP-TEST-BS;pod-1;SCHEMA-PRO^Template1
124;124_EPG_L;SCHEMA-PRO;LAB-ACI;Template1;AP-TEST-BS;pod-1;SCHEMA-PRO^Template1
